MES;FECHA;LÍNEAS DE TRABAJO - COMPONENTE;VERIFICACIÓN;ACCIONES;NOMBRE INSTITUCION/EMPRESA/EVENTO;PUBLICO OBJETIVO;TIPO EMPRESA/INSTITUCION/EVENTO;DIRECCION;COD_COMUNA;COMUNA;BARRIO;TOTAL PERSONAS SENSIBILIZADAS;TOTAL MUJER;TOTAL HOMBRE;MUJER NIÑO (6 a 13 años);MUJER JOVEN (14 a 28 años);MUJER ADULTO (29 a 59 años);MUJER PERSONA MAYOR (60  años y más);MUJER PEATÓN;MUJER MOTOCICLISTA;MUJER CONDUCTOR;MUJER ACOMPAÑANTE Y/O PASAJERO;HOMBRE_JOVEN_(14_A_28_ANOS);HOMBRE ADULTO (29 A 59 ANOS);HOMBRE_PERSONA_MAYOR_(60_ANOS_Y_MÁS);HOMBRE_PEATON;HOMBRE_CICLISTA;HOMBRE_MOTOCICLISTA;HOMBRE_CONDUCTOR;HOMBRE_ACOMPANANTE_ Y/O_ PASAJERO;No. DE PROFESIONALES VINCULADOS;No. DE AUXILIARES VINCULADOS;No. DE PROFESIONALES CONTRATISTAS;No. DE AUXILIARES CONTRATISTAS;NO. HORAS LABORADAS EN ACTIVIDAD
Abril;2019-04-02T05:00:00.000Z;Curso_de_Amonestados;Curso;Taller_Formativo_Curso_de_Amonestados;Secretaría de Movilidad;Infractores;Secretaría de Movilidad;Cr 64 C 72 58;5;Castilla;Caribe;51;5;46;0;2;3;0;0;0;3;2;0;13;26;7;0;0;21;25;0;1;0;0;0
Abril;2019-04-03T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Punto_Seguro_Peatones;Secretaría de Movilidad;Peatones;Intervención en Vía;Cl 52 A 50 46;10;La_Candelaria;La Candelaria;361;172;189;3;30;124;15;168;168;2;0;2;23;153;13;168;0;19;1;1;0;0;2;3
Abril;2019-04-04T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Punto_Seguro_Peatones;Secretaría de Movilidad - Semáforo Humano;Peatones;Intervención en Vía;Cl 58 48 1;10;La_Candelaria;Prado;170;86;84;1;16;66;3;85;85;0;0;1;12;67;5;74;0;9;0;1;0;0;2;3
Abril;2019-04-05T05:00:00.000Z;Incidencia_y_Gestion_Ejecucion_de_Experiencias;Incidencia;Festival_por_el_Compromiso_Vial;Universidad CES;Peatones;Instituciones de Educación Superior Privadas;Cl 10 A 22 05;14;Poblado;Altos del Poblado;258;150;108;0;136;14;0;150;150;0;0;0;95;13;0;108;0;0;0;0;0;0;5;14
Abril;2019-04-08T05:00:00.000Z;Experiencias_Ciudadanas_Empresas;Experiencias_Empresas;Taller_Formativo_Empresas_Comerciales_CON_PESV;Central Ganadera Planta;Actores Viales en General;Empresas Comercial y/o Servicios;Cl 103 EE 63 D 7;5;Castilla;Belalcazar;54;12;42;0;4;8;0;8;8;4;0;0;21;21;0;14;0;28;0;0;0;0;1;0
Abril;2019-04-09T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Buen_Parqueo;Secretaría de Movilidad;Actores Viales en General;Sitio Buen Parqueo;Cl 60 C 132 1;60;San_Cristobal;Cabecera Urbana;129;45;84;0;27;18;0;28;28;11;3;3;22;60;2;28;0;29;25;2;0;0;1;5
Abril;2019-04-10T05:00:00.000Z;Experiencias_Ciudadanas_Encarrete_Parque_Explora;Experiencias_Encarrete;Sensibilizacion_Encarrete_Instituciones_Educativas;Universidad Santo Tómas;Estudiantes;Instituciones de Educación Superior Privadas;Cr 82 77 B 27;7;Robledo;Bello Horizonte;64;41;23;0;34;7;0;25;25;5;9;2;22;1;0;11;0;7;4;1;0;0;5;1
Abril;2019-04-10T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Buen_Parqueo;Secretaria de Movilidad - JAC Los Alcázares;Actores Viales en General;Sitio Buen Parqueo;Cr 89 A 48 E 1;13;San_Javier;Los Alcázares;154;53;101;19;33;1;0;41;41;8;4;0;50;51;0;69;0;16;16;0;0;0;1;5
Abril;2019-04-11T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Socializacion_Proyectos_Movilidad_Conglomerado_Publico_Externo;Juanta Accion Comunal Santa Cruz;Juntas de Acciòn Comunal;Entidades Gubernamentales;Cr 51 92 100;2;Santa_Cruz;Santa Cruz;7;3;4;0;1;2;0;0;0;1;0;2;0;4;0;0;0;1;1;2;0;1;0;0
Abril;2019-04-12T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Buen_Parqueo;Secretaría de Movilidad;Actores Viales en General;Sitio Buen Parqueo;Cl 49 32 1;9;Buenos_Aires;Buenos Aires;177;63;114;7;14;42;0;38;38;7;0;1;55;56;0;59;25;29;0;1;0;0;2;3
Abril;2019-04-14T05:00:00.000Z;Incidencia_y_Gestion_Ejecucion_de_Experiencias;Incidencia;Otros_Incidencia_y_Gestion;Secretaría de Movilidad - Secretaría de Gobierno;Actores Viales en General;Actividades Comunitarias;Cl 18 105 69;70;Altavista;Altavista;57;27;30;17;6;4;0;27;27;0;0;0;5;2;1;30;0;0;0;0;0;0;1;7
Abril;2019-04-23T05:00:00.000Z;Incidencia_y_Gestion_Ejecucion_de_Experiencias;Incidencia;Dia_Sin_Carro;Secretaría de Movilidad y EDU;Ciclistas;Acuerdo Municipal;Cr 52 67 1;10;La_Candelaria;Barrio Colón;135;58;77;0;0;58;0;32;32;6;0;0;6;70;1;47;25;5;0;0;0;0;1;1
Abril;2019-04-23T05:00:00.000Z;Incidencia_y_Gestion_Ejecucion_de_Experiencias;Incidencia;Dia_Sin_Carro;Secretaría de Movilidad;Ciclistas;Acuerdo Municipal;Cr 70 1 180;16;Belen;Diego Echavarría;270;46;224;0;18;27;1;0;0;0;0;0;109;90;18;0;224;0;0;0;0;0;1;1
Abril;2019-04-24T05:00:00.000Z;Curso_de_Amonestados;Curso;Taller_Formativo_Curso_de_Amonestados;Secretaría de Movilidad;Infractores;Secretaría de Movilidad;Cr 64 C 72 58;5;Castilla;Caribe;13;3;10;0;0;3;0;0;0;0;3;0;3;6;1;0;0;2;8;0;0;0;1;0
